id,source,author,date,content,helpful_votes
1,UI3 migration thread,OnlyRodas,"April 2, 2025","I can't believe Figma is forcing this change on us. UI3 is, without a doubt, the most unfriendly design possible. It has made my workflow painfully slow and incredibly unproductive. What's the harm in letting people CHOOSE which UI works best for them? I always thought switching to UI3 was a HUGE mistake, but I never felt the need to comment on it because UI2 was still an option. Now that you're FORCING this change, I have to speak up. This is NOT an upgrade. It's a downgrade in usability, efficiency, and user experience. Figma was supposed to be about flexibility and user-centered design—so why ignore the feedback of those who actually use the platform every day? Give us back the choice.",111
2,UI3 migration thread,Kari Socol,"March 19, 2025",Leave UI2 design!!!!!!,34
3,UI3 migration thread,BlackGold,"March 25, 2025",I don't want to change to UI3. I wouldn't use it even if you gave it free premium. Why don't you think about WHY so many users are reporting about it? It's an absolute disaster. I use UI2 no matter what. Don't push a new UI which no one needs.,33
4,UI3 migration thread,Dawid7,"March 25, 2025","Agree! I can't imagine switching to UI3. It will be more convenient for me to create designs in HTML/CSS. FIGMA, KEEP UI2!",12
5,UI3 migration thread,BlackGold,"March 25, 2025","This is not only what I think. As you can see, people are not liking the new UI3. Yes, UI3 maybe looks modern and clean, but it's causing people to struggle and lose their effectiveness in work or design. Don't update the new UI3, which no one needs. Everyone used to UI2. Look at those topics; almost every day someone makes a topic about the disadvantages of the new UI. Since you know these complaints towards UI3, why would you guys update it? Almost every user is not liking the new UI, and you guys are going to make us use it in a month.",19
6,UI3 migration thread,Dawid7,"March 25, 2025",Figma team wants to cut our hands off and gouge our eyes out. I don't want to work like I'm 80 years old figuring out what's where.,20
7,UI3 migration thread,Artist and Machine,"March 26, 2025",Why deprecate UI2? It's better than UI3 in my opinion. The new UI is not very accessible either — very small thin type. I really tried using the new UI and it is not as efficient or functional. There are so many other ways you could be optimizing the program. I'm sure everyone is doing their best but some of us need to be efficient while designing.,24
8,UI3 migration thread,suzshu,"March 27, 2025","The new UI is very inefficient. I'm surprised the results of Figma's user research and usability testing — you guys did that, didn't you? — led to this terrible outcome. There have been so many brilliant recommendations and feedback from your users in your forums, and yet you chose this? Please listen and try again.",19
9,UI3 migration thread,all3n,"March 27, 2025","Don't remove UI2. At least keep both UI2 and UI3 as an option for accessibility. People have usability issues with UI3 as you may have seen from the feedback. As a UI/UX perspective, UI2 is very efficient visually and functionally. Please do not remove UI2.",19
10,UI3 migration thread,Edward Saleeby,"April 2, 2025","I agree, I do not appreciate all of the changes and organization of the new UI. I do not like the fact that the position of things feels and looks drastically different depending on the complexity and options of components. I do not appreciate how a lot of the values for the inputs look selected when I've not interacted with them. The old UI is overall better, in my opinion, for those reasons. While I appreciate the ability to resize the panels, I do not think you're taking the right direction with the new UI. If anything, you are adding friction to users while meaning not to.",16
11,UI3 migration thread,Darius Vitkunas,"April 3, 2025","I've been using Figma for years and years — so much that I can create things almost at the speed of thought. With UI3 turned on I feel literally paralysed. I've tried turning UI3 on at least 50 times now but every time it's just as painful. It frustrates me so much that since the news about UI2 going away I've started actively working to make a Chrome extension to bring UI3 as close to UI2 as possible — having a toolbar at the top, switching places for the blocks in the design panel, making checkboxes actually visible when I select them (I'm talking to you, 'Clip content'), removing unnecessary padding from dropdown menus, and so on.",14
12,UI3 migration thread,Vern B,"April 9, 2025","With the way I work I hate that I am being forced to have a UI panel at the bottom of the screen. For my setup the UI gets blocked by the laptop I use to review requirements while I work. If they really want to make things usable, allow us to move and adjust the UI to fit our workflows and habits. That would be user-centric.",8
13,UI3 migration thread,Katelyn Ernesto,"April 9, 2025",UI3 is a bad update and your team undermining years of muscle memory for a bad update because of your egos is the worst.,21
14,UI3 migration thread,Anastasia Zotov,"April 9, 2025","I hate that I'm being forced to use the new UI layout and I cannot choose. I hate UI3 because of how different it is from the previous version and how visually noisy the right panel has become, with all grey backgrounds for inputs, extra fields, and no separation between sections. It is absurd that UI/UX and web designers — the biggest audience of Figma — are forced to have a very bad experience in the software they use to create good experiences.",8
15,UI3 migration thread,Radu Muntean,"April 10, 2025","UI2 is so much more efficient. I don't get this completely backwards way they reordered useful items. Thanks for removing an entire navbar and moving the shape intersect/union and burying it in a submenu, but at least now we have an always-visible 'FigPal' button. Figma really has its priorities set straight.",11
16,UI3 migration thread,Leigh4,"April 11, 2025","I also can't believe Figma is forcing us to use UI3. It's not about getting used to a new layout — it's about a UI that lacks accessibility, is inefficient, badly designed, and totally inferior to UI2. Figma, why are you not listening to your users? I'd be ashamed if I'd designed something that has such bad UX. You can see all the poor user feedback, but just decided to ignore everyone. Just because you've wasted time on bad product design doesn't mean it's a good idea to implement it.",7
17,UI3 migration thread,Vosidiy M,"April 11, 2025","I also struggle with UI3. After Figma implemented UI3, the desktop app became slow. It delays when I drag frames, even on small files I feel a performance issue. That's why I'm thinking about switching to Motiff or Penpot. Nowadays companies are not design-driven or test-driven — they are ego-driven.",1
18,UI3 migration thread,Bingyan Li,"April 11, 2025","Why doesn't Figma listen to the voices of real users instead of forcibly cancelling UI2? When a product becomes very popular, it doesn't merely belong to the company.",4
19,UI3 migration thread,Sizwe Moabi,"April 11, 2025","I don't understand why they refuse to let us customize the interface back to UI2 or just keep UI2, because surely they're seeing the vast amounts of complaints in the forum.",1
20,UI3 migration thread,Bingyan Li,"April 12, 2025","I'm trying to get used to UI3, but why did UI3 even change the angle of the mouse pointer? Insane!",3
21,Editor UX critique thread,Martin Wermers-Pauly,"September 17, 2025","After a late switch from Sketch to Figma about six months ago, here is my conclusion: while Figma has many great features, the general UX of the tool is just so bad. Things that annoy me most: (1) Visibility of functions — so many functions are hidden below a small unlabeled icon. And when a function is unavailable, its UI element is hidden, not disabled. I'm using Figma for UX design, and it just feels so wrong to use a tool that does not handle UX basics correctly itself. (2) Library management — publishing components can be done from two places but only one allows multi-select. The 'Publish changes' button disappears entirely rather than being disabled when there are errors, with no indication of why. (3) Component updates — incredibly slow, and a success toast appears before the update actually completes, leading you to push the button multiple times with no progress indicator. (4) File/Window management — jumping to a library component opens the file a second time in a new tab instead of switching to the already-open window. (5) Component creation — you cannot create a component from sublayers of an existing component, creating enormous extra work. Duplicating a component without variants gives you an instance, not a clone. The same CMD-D command produces different results depending on context — that is simply bad UX.",5
22,Editor UX critique thread,Carlo23,"November 25, 2025","Exactly — applicable to many tasks, and this perception is widespread. Figma is not accessible. Power users will get used to it, they think. For new users the barrier will slow growth, as thousands of AI tools try to fix the gaps, or users turn to Canva and Affinity for no cost.",2
